Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CH01-06_S1_L001_R1_001_val_1	CH01-06_S1_L001_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1125933.0	0.0	20-56	31.0	96.48596030774999	51.1739135454774	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
CH01-06_S1_L001_R2_001_val_2	CH01-06_S1_L001_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1125933.0	0.0	20-56	31.0	96.99927892050289	51.19458795505594	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
CH01-14_S2_L001_R1_001_val_1	CH01-14_S2_L001_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	884198.0	0.0	20-56	30.0	97.00516562849054	49.443635927699454	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
CH01-14_S2_L001_R2_001_val_2	CH01-14_S2_L001_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	884198.0	0.0	20-56	30.0	97.62626156553331	49.550597264413625	pass	pass	pass	pass	warn	pass	pass	warn	pass	warn	pass
CH01-22_S3_L001_R1_001_val_1	CH01-22_S3_L001_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1061555.0	0.0	20-56	30.0	96.37133526524066	51.129659791532234	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
CH01-22_S3_L001_R2_001_val_2	CH01-22_S3_L001_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1061555.0	0.0	20-56	30.0	96.93253345611338	51.140396870628464	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
CH01-38_S4_L001_R1_001_val_1	CH01-38_S4_L001_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1678659.0	0.0	20-56	31.0	97.14496940101586	50.4860063896241	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
CH01-38_S4_L001_R2_001_val_2	CH01-38_S4_L001_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1678659.0	0.0	20-56	31.0	97.67579884713525	50.58183466683823	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
CH03-04_S5_L001_R1_001_val_1	CH03-04_S5_L001_R1_001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1647164.0	0.0	20-56	30.0	94.41926388779407	51.41235723947342	pass	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
CH03-04_S5_L001_R2_001_val_2	CH03-04_S5_L001_R2_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1647164.0	0.0	20-56	30.0	95.2042146419282	51.52600773207768	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
